Priority,Urgency,Status,Incident Number,Requestor,Email,Short Description,Long Description,Phone,Days Open,,
2024-03-14,3,1,closed,96024,Anthony Harris,anthony.harris@austx.com,"Users experiencing slow system performance., Long Description: Several users in a medium size enterprise have reported experiencing slow system performance, leading to delays in completing their tasks. The IT team is analyzing the network and server infrastructure to pinpoint the source of the performance degradation and implement necessary optimizations.",,5127408622,7,
2024-11-04,1,1,open,84431,Linda Anderson,linda.anderson@austx.com,"Network outage affecting multiple departments, Long Description: A network outage is currently impacting multiple departments within our medium-sized enterprise. Users have reported connectivity issues and inability to access shared drives and applications. The IT team is actively working to troubleshoot the problem and restore network services to minimize disruption to business operations.",,5127667580,26,
2024-09-08,4,3,closed,71132,Michael Green,michael.green@austx.com,"Network outage affecting multiple departments, Long Description: A network outage has impacted multiple departments within a medium-sized enterprise, leading to a halt in critical operations. Users across various teams have reported being unable to access shared drives, internal applications, and internet services. The IT support team is actively working to identify the source of the outage and restore network connectivity as soon as possible. In the meantime, employees are advised to limit non-essential internet usage to alleviate strain on the network infrastructure.",,5124923215,14,
2024-09-22,2,3,open,35469,Anthony Mitchell,anthony.mitchell@austx.com,"Network outage affecting multiple departments, Long Description: A network outage is currently impacting multiple departments within a medium-sized enterprise. Users across different floors of the office building have reported being unable to connect to the internet or access shared drives. The IT helpdesk has been inundated with calls from frustrated employees seeking assistance. The IT team is working diligently to identify the source of the outage and restore network connectivity to minimize disruption to the business operations.",,5127800092,18,
2023-10-29,3,2,open,38714,Susan Johnson,susan.johnson@austx.com,Users are experiencing intermittent connectivity issues with the company's VPN service.,"Several employees in a medium-sized enterprise have reported experiencing intermittent connectivity issues while trying to access the company's VPN service. The problem seems to be affecting users across different departments and locations. Some users have mentioned that they are unable to establish a stable connection to the VPN, while others have reported being disconnected unexpectedly during their work sessions. This issue is causing disruptions to remote work and hindering employees' ability to access critical resources and applications securely. The IT team is currently investigating the root cause of the problem and working on implementing a solution to restore stable VPN connectivity for all users. In the meantime, employees are advised to try reconnecting to the VPN periodically and reaching out to the IT support team for assistance.",5121493563,25,
2023-10-29,3,4,closed,62087,Barbara Smith,barbara.smith@austx.com,"Network outage affecting multiple departments, Long Description: A network outage has occurred within a medium-sized enterprise, impacting several departments and causing disruption to daily operations. The incident began early in the morning when employees started reporting connectivity issues with various applications and services. The IT team quickly identified that the core switch in the data center had failed, leading to the widespread network outage. As a result, employees in different departments were unable to access critical systems, collaborate effectively, or communicate via email and messaging platforms.",,5128386566,18,
2024-10-03,4,2,open,54125,Kevin Perez,kevin.perez@austx.com,"Users are experiencing slow network connectivity in the office building., Long Description: Several users in the office building have reported experiencing slow network connectivity when trying to access shared files and applications. The IT team is investigating the issue to determine the root cause and resolve it promptly. As employees rely heavily on a stable network connection to carry out their daily tasks, this slowdown is impacting productivity across multiple departments. Discussions are ongoing in the company chat channels as users express frustration over the situation, with some suggesting potential workarounds while others are seeking updates from the IT department on the progress of resolving the issue. The IT team is actively monitoring network traffic, checking for any potential bottlenecks or disruptions that could be causing the slowdown. Updates are being provided to users as the investigation progresses, with the aim of restoring normal network speeds as soon as possible.",,5123366275,22,
2023-07-09,4,1,open,14612,Nancy Ramirez,nancy.ramirez@austx.com,"Email server outage affecting all employees, Long Description: An email server outage is currently affecting all employees in the organization, causing disruption to communication and workflow. The IT team is aware of the issue and is working on restoring the email server as soon as possible. Meanwhile, employees are advised to use alternative communication channels such as phone calls or instant messaging to ensure business continuity. Some users are expressing frustration over the lack of updates on the progress of the server restoration, while others are actively seeking solutions to mitigate the impact on their daily tasks.",,5123954906,27,
2023-08-28,4,4,closed,41338,Steven Young,steven.young@austx.com,"Network outage impacting operations, Long Description: A network outage is currently impacting operations at a medium size enterprise, causing disruptions to internet connectivity and access to critical business applications. Employees across various departments have reported difficulties in carrying out their tasks due to the network issues. IT support is actively working to resolve the outage and restore normal network functionality as soon as possible.",,5121941537,28,
2023-11-16,4,3,open,35567,Angela Baker,angela.baker@austx.com,"Users are experiencing intermittent network connectivity issues., Long Description: Some users in the organization have reported intermittent network connectivity issues when trying to access shared drives and cloud services. The IT team is investigating the root cause of the problem, which seems to be affecting users across different departments. As the issue persists, employees are finding it challenging to collaborate on projects and access important files in a timely manner. The IT help desk has received multiple tickets related to this issue, and users are growing increasingly frustrated with the ongoing disruptions to their work. In a discussion thread on the company's internal communication platform, employees are sharing their experiences with the network problems and expressing their concerns about the impact on productivity. The IT team is working diligently to resolve the issue and keep the employees informed about the progress through regular updates.",,5121653280,21,
2024-11-03,2,3,open,62282,Jonathan Taylor,jonathan.taylor@austx.com,"Users unable to access company email, Long Description: Several employees in a medium-sized enterprise reported that they were unable to access their company email accounts. The IT team investigated the issue and found that the email server was experiencing technical difficulties. As a result, employees were unable to send or receive emails, leading to disruptions in communication and workflow. The IT team quickly worked to resolve the issue by restarting the email server and implementing additional monitoring to prevent similar incidents in the future. The employees were informed of the situation through an internal communication system, and regular updates were provided until the issue was fully resolved. The incident highlighted the importance of having a robust IT infrastructure in place to ensure smooth operations within the organization.",,5126609436,18,
2023-10-16,3,1,closed,56965,Stephanie Rivera,stephanie.rivera@austx.com,Users are experiencing intermittent connectivity issues with the company's email server.,"Several employees at a medium-sized enterprise have reported intermittent connectivity issues when trying to access their email accounts through the company's server. The problem seems to be affecting users across different departments and locations within the organization. IT support has been alerted to investigate the root cause of the issue and is currently working on resolving it. Some employees have resorted to using personal devices or alternative communication methods in the meantime, leading to potential productivity disruptions. Discussions among employees have centered around the impact of the email server downtime on their daily workflow and the importance of timely communication for project collaboration.",5129329729,30,
2023-07-15,3,2,open,18624,Daniel Campbell,daniel.campbell@austx.com,Users are reporting difficulties accessing the company's email system.,"Several employees at a medium size enterprise have reported difficulties accessing their email accounts through the company's system. The issue seems to be affecting a significant number of users across different departments. As a result, employees are unable to send or receive important emails, leading to delays in communication and potential disruptions to workflow. The IT team is investigating the issue to identify the root cause and restore normal email functionality as soon as possible. Some employees have resorted to using personal email accounts in the meantime, but this poses security risks and is not a sustainable solution. Colleagues are discussing the impact of the email outage on their daily tasks and expressing concerns about the potential loss of important communications. The IT team is providing regular updates on their progress in resolving the issue, but employees are growing increasingly frustrated by the ongoing disruption to their work.",5124975095,25,
2023-11-06,3,1,open,73572,Betty Flores,betty.flores@austx.com,"Network outage affecting multiple departments, Long Description: A network outage is currently impacting multiple departments within a medium-sized enterprise. Users have reported being unable to connect to shared drives, access critical applications, and communicate with colleagues. The IT team is working on resolving the issue as quickly as possible, but the downtime is causing significant productivity losses across the organization. Employees are expressing frustration over the lack of communication regarding the outage and the potential impact on project deadlines.",,5125249781,2,
2023-10-21,1,2,open,46835,John Thompson,john.thompson@austx.com,"Users are reporting issues accessing the company's email server., Long Description: Several users in a medium size enterprise have reported difficulties accessing their email accounts through the company's server. The IT team is investigating the issue, which seems to be affecting a subset of employees. Some users are receiving error messages when trying to log in, while others are experiencing delays in receiving new emails. The IT team is currently working to identify the root cause of the problem and restore normal email functionality for all users. In the meantime, employees are advised to use alternative communication channels if urgent emails need to be sent or received. The IT helpdesk is actively communicating updates to employees as they work to resolve the issue.",,5125257986,20,
2024-09-07,4,4,open,60510,Melissa Garcia,melissa.garcia@austx.com,"Network connectivity issues affecting multiple departments, Long Description: A network connectivity issue has been identified within a medium-sized enterprise, affecting multiple departments. Users have reported intermittent disruptions in accessing shared drives and online resources, leading to a decrease in productivity. The IT team is currently troubleshooting the network infrastructure to pinpoint the source of the problem and implement a solution promptly. Discussions among employees highlight the importance of reliable network connectivity for seamless collaboration and workflow efficiency.",,5126599137,24,
2024-01-23,3,3,closed,27373,James Garcia,james.garcia@austx.com,Users are experiencing intermittent connectivity issues with the company's email server.,"Some users in the organization have reported experiencing intermittent connectivity issues when trying to access their emails through the company's email server. The problem seems to be affecting users across different departments and locations. The IT team is currently investigating the issue to determine the root cause and implement a solution to restore stable email access for all employees. In the meantime, employees have been advised to use alternative communication channels if urgent communication is required. The IT helpdesk has received multiple tickets related to this issue, and they are working diligently to address each one in a timely manner.",5122523647,2,
2024-11-14,1,2,closed,63634,Michelle Davis,michelle.davis@austx.com,"Network outage causing loss of internet connectivity, Long Description: A network outage occurred at a medium-sized enterprise, resulting in a complete loss of internet connectivity for all employees. The incident began during peak working hours, causing significant disruption to ongoing tasks and projects. IT staff immediately started investigating the issue, but the root cause was not immediately apparent.",,5125330156,16,
2024-10-10,3,2,closed,61623,Betty Martinez,betty.martinez@austx.com,"Network outage affecting multiple departments, Long Description: A network outage occurred in a medium-sized enterprise, impacting various departments within the organization. The incident started during peak hours, causing disruption to critical business operations. Users were unable to access shared drives, email servers, and internal applications, leading to a significant decrease in productivity across the company. IT support teams immediately started investigating the issue, identifying a faulty network switch as the root cause of the outage. The teams worked tirelessly to replace the malfunctioning hardware and restore network connectivity. As the network gradually came back online, users expressed frustration over the downtime and the impact on their work tasks. Communication about the incident was shared through email notifications and updates on the company's intranet portal to keep employees informed about the progress of the resolution. Post-incident analysis revealed the need for redundancy measures to prevent similar outages in the future, prompting IT to implement additional failover systems and conduct regular network maintenance to avoid such disruptions.",,5121093814,10,
2024-09-13,3,1,closed,67185,Joseph Martinez,joseph.martinez@austx.com,"Users are experiencing intermittent connectivity issues with the company's email server., Long Description: Several employees at a medium-sized enterprise have reported sporadic connectivity issues when trying to access their email accounts. The problem seems to be affecting users across different departments and locations within the company. Some employees have mentioned delays in receiving emails, while others are unable to send messages altogether. The IT team is currently investigating the root cause of these intermittent connectivity issues to the email server. As a result, productivity has been impacted as employees are unable to communicate effectively through email. Discussions are ongoing within the organization's communication channels about potential workarounds until a permanent solution is implemented.",,5129819081,5,
2024-03-16,2,1,closed,74877,Linda Martinez,linda.martinez@austx.com,"Users unable to access email, Long Description: Several users in the marketing department reported that they were unable to access their email accounts this morning. The IT team investigated the issue and found that the email server was experiencing a connectivity issue. They immediately started troubleshooting the problem to restore email services as quickly as possible. Meanwhile, the affected users were informed about the situation and advised to use alternative communication channels for work-related correspondence. After an hour of investigation, the IT team successfully resolved the issue and restored email access for all users in the marketing department. The incident was closed, and a post-incident review was scheduled to identify the root cause and prevent similar issues in the future.",,5129398043,30,
2023-07-07,3,4,closed,33833,Jessica Garcia,jessica.garcia@austx.com,A software update has caused compatibility issues with the company's accounting system.,"Following a recent software update in a medium-sized enterprise, users have encountered compatibility issues between the updated software and the company's accounting system. This has led to discrepancies in financial records and challenges in generating accurate reports for management. The IT team is currently working to identify a solution, which may involve rolling back the software update or implementing a patch to address the compatibility issues. The finance team is collaborating with IT to minimize the impact on financial operations and ensure data integrity.",5126766027,3,
2023-06-23,1,4,closed,97101,Ronald Taylor,ronald.taylor@austx.com,Users are experiencing intermittent network connectivity issues.,"Some users in the organization have reported intermittent network connectivity issues, where they are unable to access certain applications or websites. The IT team is currently investigating the root cause of the problem to determine if it is a network infrastructure issue or a configuration issue on the users' devices. Users have been advised to restart their devices and try reconnecting to the network, but the issue persists for some users. Discussions are ongoing in the organization's chat platform about the impact of these connectivity issues on productivity and potential solutions to resolve them swiftly.",5122319584,30,
2023-12-07,2,2,open,61377,Andrew White,andrew.white@austx.com,Users reported inability to access company email.,"Several employees in a medium-sized enterprise reported that they were unable to access their company email accounts. The issue seemed to be affecting users across different departments and locations. IT support teams were immediately notified and began investigating the root cause of the problem. Initial troubleshooting steps included checking the email server status, network connectivity, and user credentials. As the incident persisted, a company-wide announcement was made to inform employees about the ongoing email service disruption and to provide alternative communication channels in the meantime. Users expressed frustration and concern about not being able to send or receive important work-related emails, leading to a decrease in productivity. The IT team worked diligently to resolve the issue and kept users updated on the progress through regular communication channels. After several hours of investigation, the root cause was identified to be a server configuration error, which was promptly rectified to restore normal email service functionality. Post-incident, a thorough review was conducted to prevent similar incidents in the future, including implementing additional monitoring and alerting systems to proactively identify and address email service disruptions.",5123647722,1,
2023-04-29,4,4,open,34677,Helen Roberts,helen.roberts@austx.com,"Users experiencing slow network connectivity issues., Long Description: Several users in a medium-sized enterprise have reported experiencing slow network connectivity issues. The problem seems to be affecting multiple departments and is causing disruptions in their daily work activities. Employees have complained about delays in accessing shared files, loading web pages, and using cloud-based applications. The IT team is currently investigating the root cause of the network slowdown and working to identify any potential bottlenecks or configuration issues. Meanwhile, frustrated users have been discussing the issue among themselves, speculating on possible reasons for the slowdown and expressing their concerns about the impact on productivity. Some users have even resorted to using personal mobile data connections to bypass the sluggish corporate network, further highlighting the severity of the situation. The IT helpdesk has been inundated with support tickets related to the slow connectivity, and IT staff are working diligently to resolve the issue and restore normal network performance as soon as possible.",,5129763959,30,
2023-10-08,4,1,open,40209,Karen Lee,karen.lee@austx.com,"Data breach discovered in customer database, Long Description: Our medium-sized enterprise recently discovered a data breach in our customer database, potentially exposing sensitive information. The security team is working diligently to contain the breach and assess the extent of the impact. Discussions are ongoing on how to enhance our cybersecurity measures to prevent future incidents and ensure the safety of our customers' data.",,5122748000,15,
2023-10-06,2,1,closed,89729,Robert Wilson,robert.wilson@austx.com,Users are reporting issues accessing email services.,"Employees at a medium-sized enterprise have been experiencing difficulties accessing their email accounts. Some users are receiving error messages when trying to log in, while others are unable to send or receive emails altogether. The IT team is investigating the issue to determine the root cause and restore normal email functionality. Several employees have raised concerns about the impact on their work productivity, prompting the IT team to prioritize resolving the issue promptly. In the meantime, employees are advised to use alternative communication channels to ensure business continuity.",5122046879,23,
2024-06-25,1,4,closed,57956,Gary Miller,gary.miller@austx.com,"Employees are unable to access shared network drives, Long Description: A number of employees at a medium-sized enterprise have encountered difficulties in accessing shared network drives where important company documents are stored. This issue is hindering collaboration and workflow efficiency within the organization. The IT department has been alerted to investigate the problem and is currently working on restoring access to the network drives. Meanwhile, affected employees are resorting to temporary workarounds to continue their tasks, but are eager for a prompt resolution to minimize disruptions in their daily operations.",,5125503852,26,
2024-04-10,4,2,open,57765,William Adams,william.adams@austx.com,Users are reporting slow performance on the company's financial software.,"Several users in a medium-sized enterprise have raised concerns about the slow performance of the company's financial software. They are experiencing delays when inputting data, generating reports, and processing transactions. The IT team has been alerted to investigate the issue and determine the root cause of the slowdown. As the financial software is critical for daily operations, the team is working urgently to resolve the performance issues and ensure that the system runs smoothly to minimize disruptions to the business processes.",5128756904,1,
2023-09-28,1,4,closed,63967,Linda Harris,linda.harris@austx.com,"Email server outage causing delays in communication, Long Description: A sudden email server outage at a medium-sized enterprise has caused significant delays in internal and external communication. Users across the organization have reported being unable to send or receive emails, leading to disruptions in workflow and collaboration. The IT team is aware of the issue and is actively working to restore the email server to full functionality. In the meantime, employees are advised to utilize alternative communication channels such as phone calls or instant messaging to ensure business continuity.",,5121335693,12,
2023-10-24,2,4,closed,14858,Charles Hall,charles.hall@austx.com,"Network outage affecting multiple departments, Long Description: A network outage occurred this afternoon, affecting multiple departments within the organization. Users across various floors reported being unable to connect to the internet or access shared drives. The IT team quickly identified the issue as a faulty network switch in the server room. They are currently working on replacing the switch and restoring network connectivity for all affected users. Meanwhile, employees have been advised to use alternative means of communication and work offline if possible.",,5124095682,8,
2024-02-12,4,3,open,30078,Deborah Lee,deborah.lee@austx.com,Users unable to access email server.,"Users in a medium size enterprise reported that they were unable to access the email server. The IT team quickly investigated the issue and discovered that the server had experienced a critical hardware failure. As a result, all email services were disrupted, impacting communication and workflow across the organization. The IT team immediately initiated a server maintenance procedure to resolve the hardware issue and restore email services as quickly as possible. Users were kept informed about the situation through regular updates via alternative communication channels such as instant messaging and phone calls. After several hours of troubleshooting and hardware replacement, the email server was successfully restored, and users were able to access their emails again without any further disruptions. The incident highlighted the importance of having robust backup systems in place to minimize downtime and ensure business continuity.",5123945344,12,
2023-11-03,2,2,open,14881,Lisa Rodriguez,lisa.rodriguez@austx.com,"Network connectivity issues affecting multiple departments, Long Description: Employees across various departments in our organization are experiencing network connectivity issues today. Some users are unable to access shared drives and applications, while others are reporting slow internet speeds. The IT helpdesk has been flooded with tickets related to the problem, and technicians are working diligently to identify and resolve the underlying cause of the network disruption. Colleagues have been advised to limit bandwidth-heavy activities until the issue is fully resolved to minimize further impacts on daily operations.",,5126814556,12,
2024-09-18,4,1,open,17101,Elizabeth Smith,elizabeth.smith@austx.com,"Network outage causing disruption in email communication, Long Description: A network outage occurred today in our office, leading to a disruption in email communication for all employees. The IT team is currently investigating the issue to identify the root cause and restore connectivity as soon as possible. This incident is impacting our ability to send and receive important emails, affecting our daily operations. Employees are advised to use alternative communication methods until the issue is resolved.",,5121737395,12,
2024-03-29,2,1,open,70100,Kenneth Williams,kenneth.williams@austx.com,"Data breach discovered in the company's database, Long Description: Our company has discovered a data breach in our database, potentially compromising sensitive information of both employees and clients. The IT security team has immediately initiated an incident response plan to contain the breach, assess the extent of the damage, and implement necessary measures to prevent further data loss. Users are advised to change their passwords and be cautious of any suspicious activity related to their accounts. The company is also working on enhancing its cybersecurity measures to prevent future breaches.",,5125020330,10,
2025-02-11,3,4,closed,57901,Stephen Campbell,stephen.campbell@austx.com,"Network outage causing disruption in accessing critical systems, Long Description: Employees at a medium-sized enterprise experienced a network outage that disrupted access to critical systems and applications. The incident occurred suddenly during peak working hours, leading to confusion and frustration among the staff members. The IT team quickly identified the issue as a network failure and began troubleshooting to restore connectivity. As the outage persisted, employees started discussing the impact on their daily tasks and productivity. Some employees reported being unable to access important files stored on the network drives, while others struggled to communicate with colleagues through internal messaging platforms. The IT team provided periodic updates on their progress, reassuring employees that they were working diligently to resolve the issue. After several hours of troubleshooting, the network was finally restored, and normal operations resumed. Post-incident, a meeting was held to discuss the root cause of the outage and implement preventive measures to minimize the risk of future disruptions.",,5128902554,29,
2024-07-10,4,4,open,55747,Barbara Wright,barbara.wright@austx.com,Users are experiencing difficulty accessing the company's email server.,"Employees at a medium-sized enterprise have reported issues with accessing their emails through the company's server. The IT team is investigating the root cause of the problem, which seems to be affecting multiple users across different departments. Some employees have resorted to using personal email accounts in the meantime, causing potential security risks. The IT helpdesk has been inundated with support tickets related to this email server issue, and users are growing increasingly frustrated with the lack of communication regarding the issue resolution timeline. Discussions among employees have sparked concerns about the reliability of the company's IT infrastructure and the impact on productivity. The IT team is under pressure to resolve the issue promptly and provide clear updates to reassure employees.",5127482141,3,
2024-02-24,1,4,closed,95597,Sharon Hall,sharon.hall@austx.com,Employees are encountering slow network speeds.,"A number of employees in a medium-sized enterprise have raised concerns about slow network speeds impacting their day-to-day work. Users have reported delays in accessing shared files, loading web pages, and connecting to remote servers. The IT helpdesk has received multiple tickets related to network performance issues and is currently investigating the underlying cause. Discussions are ongoing within the organization about potential solutions to improve network speed and efficiency to minimize disruptions to workflow.",5125773590,21,
2023-11-24,4,3,open,15050,Linda Anderson,linda.anderson@austx.com,"Network outage impacting multiple departments, Long Description: A network outage is currently impacting multiple departments within the medium-sized enterprise. Users are unable to connect to critical systems and applications, causing a significant disruption to daily operations. The IT team is working to identify the source of the outage and restore network connectivity to minimize the impact on productivity.",,5123982928,28,
2024-04-12,2,2,closed,49993,Nicholas White,nicholas.white@austx.com,"Network outage impacting email communication, Long Description: A network outage has occurred at a medium-sized enterprise, impacting email communication for employees. This has led to delays in responding to client inquiries and internal team collaboration. The IT team is working diligently to restore network connectivity and ensure that email services are back up and running smoothly. Employees are advised to use alternative communication channels in the meantime.",,5122891789,10,
2024-03-27,3,3,open,84510,George Roberts,george.roberts@austx.com,"Users are experiencing difficulties accessing email services. Long Description: Several employees in the marketing department at a medium-sized enterprise are reporting issues with accessing their email accounts. They are receiving error messages when trying to log in and are unable to send or receive emails. The IT team is investigating the issue to determine the root cause and resolve it as quickly as possible. Meanwhile, the affected employees are unable to carry out their daily tasks efficiently, leading to a decrease in productivity within the department. Discussions are ongoing between the IT team and the employees to provide updates on the progress of the investigation and to offer alternative communication solutions in the meantime.",,5129244699,9,
2025-02-07,1,4,closed,92899,James Martin,james.martin@austx.com,"Employees are unable to access shared network drives, impacting collaboration efforts.","A number of employees within the medium-sized enterprise have encountered difficulties in accessing shared network drives, which is hampering their ability to collaborate on projects and access important files stored on the company's network. The issue has been reported by users from various departments who rely on these shared drives for their day-to-day work. The IT support team is aware of the problem and is actively troubleshooting to identify the cause of the connectivity issue. In the meantime, employees are advised to utilize alternative methods for file sharing and collaboration to ensure minimal disruption to ongoing projects and tasks.",5123534966,7,
2023-12-31,4,2,open,46831,Rebecca Lee,rebecca.lee@austx.com,"Network outage impacting multiple departments, Long Description: A network outage has been reported within a medium-sized enterprise, impacting multiple departments' ability to access shared drives, applications, and the internet. Users have raised concerns about the disruption to their work and productivity. The IT team is actively working to identify the source of the outage and restore network connectivity across the affected areas. Employees are advised to remain patient while the issue is being addressed.",,5127122376,14,
2024-08-02,1,1,closed,10312,Gary Wright,gary.wright@austx.com,"Network outage affecting multiple departments, Long Description: A network outage is currently impacting multiple departments within the medium-sized enterprise. Users have reported connectivity issues with various applications and services. The IT team is working diligently to identify the root cause of the outage and restore network functionality to minimize disruption to business operations.",,5126796807,24,
2023-10-10,3,1,closed,75419,Joseph Sanchez,joseph.sanchez@austx.com,Employees are experiencing slow internet speeds in the office.,"Several employees at a medium-sized enterprise have raised concerns about experiencing slow internet speeds while working in the office. This issue is impacting their ability to collaborate effectively, attend virtual meetings, and access online resources necessary for their tasks. The IT team is currently investigating the network infrastructure to identify any bottlenecks or potential causes for the slowdown. In the meantime, employees are encouraged to report specific instances of slow internet speeds to help the IT team pinpoint the problem areas more efficiently.",5124214432,16,
2023-09-05,3,1,open,63309,Donna Brown,donna.brown@austx.com,"Users unable to access email, Long Description: Several users in the organization reported being unable to access their email accounts. The incident began early in the morning when employees tried to log in to their email client but received an error message indicating that the server could not be reached. The IT team was immediately alerted to investigate the issue. Upon further investigation, it was discovered that the email server was experiencing a critical hardware failure, leading to the disruption in service. The IT team quickly initiated the necessary steps to troubleshoot and resolve the issue, working diligently to restore email services for all affected users. During the incident, communication was sent out to all employees informing them of the problem and providing updates on the progress of the resolution. After several hours of intensive work, the email server was successfully restored, and users were able to access their accounts once again. The incident was thoroughly documented for future reference, and measures were put in place to prevent similar hardware failures from causing disruptions in the future.",,5122087049,2,
2023-08-23,2,1,closed,54142,Eric Carter,eric.carter@austx.com,"A network outage is impacting the company's ability to access shared files., Long Description: Employees at a medium-sized enterprise are currently unable to access shared files and documents due to a network outage. The issue has caused disruptions in collaborative work and project deadlines are at risk of being missed. The IT team is working to identify the source of the outage and restore network connectivity to minimize further impact on business operations. In the meantime, employees are advised to save their work locally and communicate with their team members through alternative means to ensure continuity in their tasks.",,5125042415,1,
2024-01-18,2,3,open,29363,Kathleen Torres,kathleen.torres@austx.com,"Network outage affecting multiple departments, Long Description: A network outage is currently impacting multiple departments within the organization, causing disruptions to daily operations. The IT team is actively working to identify the source of the issue and restore connectivity to all affected areas. Users are advised to limit network usage until the problem is resolved to prevent further complications.",,5122333600,28,
2023-10-01,2,1,closed,64520,Nancy Miller,nancy.miller@austx.com,Users are experiencing difficulty accessing the company's email server.,"Several employees at a medium-sized enterprise have reported issues with accessing their email accounts. Upon investigation, it was discovered that the company's email server was experiencing intermittent connectivity issues, causing delays in sending and receiving emails. The IT team is actively working to resolve the issue and restore normal email functionality for all users. In the meantime, employees have been advised to use alternative communication channels for urgent matters. Some users have expressed frustration over the inconvenience, while others have been understanding of the technical challenges being faced by the IT department. The IT team has provided regular updates to keep employees informed about the progress towards resolving the email server issue.",5125013179,2,
2023-06-26,4,2,closed,23Date,863,Steven Lee,steven.lee@austx.com,"Network outage affecting multiple departments, Long Description: A network outage has occurred in a medium-sized enterprise, impacting multiple departments and causing disruption to daily operations. Users across various teams are unable to access critical systems and applications, leading to a significant productivity loss. IT staff are actively investigating the issue to identify the root cause and restore network connectivity as soon as possible. Discussions among employees are centered around the impact on project deadlines and the need for contingency plans to mitigate the effects of the outage. The incident has highlighted the importance of robust network infrastructure and proactive monitoring to prevent similar disruptions in the future.",,5128890820,26
2024-02-16,3,4,open,48841,Betty Ramirez,betty.ramirez@austx.com,"Users are experiencing intermittent connectivity issues with the company's email server, Long Description: Several employees have reported intermittent connectivity issues when trying to access their email accounts through the company's server. The problem seems to be affecting users across different departments and locations within the organization. IT support has been notified and is currently investigating the root cause of the issue to restore normal email functionality. Meanwhile, employees are advised to periodically check for updates from the IT team regarding the ongoing investigation and possible solutions. Some users have resorted to using personal email accounts as a temporary workaround to ensure uninterrupted communication with clients and colleagues. The IT team is working diligently to resolve the issue and minimize any disruptions to the company's operations.",,5129856915,17,
2023-11-19,1,3,closed,49207,Daniel Thompson,daniel.thompson@austx.com,"Employees are experiencing slow internet connection at the office., Long Description: In a medium-sized enterprise, employees have been facing issues with slow internet connection at the office. Multiple users have reported that web pages are taking longer than usual to load, and some are experiencing intermittent connectivity issues while accessing online applications. The IT helpdesk has received several tickets regarding this issue, and the network team is investigating to identify the source of the problem. Users are growing increasingly frustrated as the slowdown is impacting their productivity.",,5128145277,15,
2023-08-03,4,2,closed,16115,Cynthia Rivera,cynthia.rivera@austx.com,Users are experiencing slow internet connection in the office.,"Employees in a medium-sized enterprise have reported experiencing slow internet connection while trying to access online tools and resources essential for their daily work tasks. The IT team has been alerted to investigate the issue and determine the root cause of the connectivity issue. Some employees have resorted to using their mobile data to continue working efficiently, but this is not a sustainable solution in the long run. The IT team is currently working on troubleshooting the network infrastructure to identify any potential issues causing the slow internet connection. Discussions are ongoing among employees in various departments about the impact of the connectivity issue on their productivity and the need for a swift resolution from the IT team to restore normal operations.",5129384153,24,
2024-05-03,1,4,closed,28321,George Jones,george.jones@austx.com,"Network connectivity issues affecting multiple departments, Long Description: A network connectivity issue is impacting multiple departments within a medium-sized enterprise. Users are experiencing slow internet speeds and intermittent outages, hindering their ability to access critical applications and collaborate effectively. The IT helpdesk is receiving a high volume of tickets from frustrated employees who are unable to complete their tasks due to the network issues. Some users are discussing the problem among themselves, sharing tips on potential workarounds while awaiting a resolution from the IT team. The IT team is actively troubleshooting the network problem to identify the cause and implement a fix to restore normal operations.",,5127312525,28,
2023-06-22,2,2,closed,24242,Paul Flores,paul.flores@austx.com,Users are reporting issues accessing the company's email server.,"Employees at a medium-sized enterprise have been experiencing difficulties accessing their email accounts through the company's server. Some users have reported receiving error messages when trying to log in, while others have said their emails are not syncing properly. The IT team is investigating the issue to determine the root cause and implement a solution to restore normal email functionality. Meanwhile, employees are advised to use alternative communication methods to ensure business continuity.",5129039781,26,
2025-02-20,3,1,closed,28211,Michelle Campbell,michelle.campbell@austx.com,"Network outage in the office, Long Description: A network outage has been reported in the office, causing disruptions to internet connectivity and access to shared drives. Employees across different departments are experiencing difficulties in carrying out their regular tasks that rely on network services. The IT team has been notified and is working on resolving the issue promptly to minimize the impact on business operations.",,5123157316,11,
2024-06-15,1,2,open,43869,Susan Nguyen,susan.nguyen@austx.com,"Users are unable to access the company's email system., Long Description: Several employees in a medium-sized enterprise reported that they were unable to access the company's email system. The issue seems to be affecting users across different departments and locations. Upon investigation, the IT team discovered that the email server was experiencing a technical glitch, causing the system to be inaccessible. The team is currently working on resolving the issue, and updates are being communicated to the employees through alternative communication channels such as instant messaging and phone calls. Some employees have expressed frustration over the inconvenience caused by not being able to access important emails and attachments, while others have been understanding of the situation and have resorted to using personal email accounts temporarily for work-related communication. The IT team is working diligently to restore the email system to full functionality as soon as possible to minimize the impact on business operations.",,5127265959,7,
